order        minwl1        minwl2        maxwl1        maxwl2             dwl
   46 5843.56165655 5992.09517548 5821.45014274 6013.49613381 0.0826978258629
   47  5946.2159776 6097.32800508 5923.70855609 6119.10463255 0.0841393278906
   48 6052.52623101 6206.31244576 6029.61067605 6228.47834614 0.0856332024368
   49 6162.69206088  6319.2540565 6139.35644166 6341.82319548  0.087182246918
   50 6276.92828473 6436.37240486 6253.15897101 6459.36012694 0.0887894637435
   51 6395.46643464 6557.90424637 6371.24828339 6581.32645591 0.0904580796596
   52 6518.55647607 6684.10479043 6493.87241621 6707.97736532 0.0921915673161
   53 6646.46872899  6815.2489234 6621.29843152 6839.58758051 0.0939827115953
   54 6779.49601954 6951.62451695 6753.80311106 6976.45324506 0.0958337241145
   55 6917.95609508 7093.57048516 6891.72144002 7118.89402632 0.0977536764321
   56 7062.19434124 7241.42574881 7035.37985509  7267.2554841 0.0997443985307
   57 4645.93063537 4722.58008168 4626.89617788 4740.75454861 0.0461997325483
   58 4452.85349045 4576.26790057 4445.59988576 4583.62070029 0.0633891831467
   59 4518.48097912 4637.61177101 4505.34746028 4650.09473643 0.0642096871516
   60 4574.04863128 4700.59832245 4566.67149476 4708.15455348  0.065053255933
   61 4637.10011013 4765.29594086 4629.60582216 4772.95771808 0.0659211977163
   62   4707.923921 4785.60330136 4688.62879798 4804.02564047 0.0468221407846
   63 4771.59059741 4850.33141768 4752.03401441  4869.0043701 0.0474602268832
   64 4836.99382266 4916.87110375  4817.2232922  4935.7568487 0.0481153535648
   65 4904.26756044 4985.20670689 4884.16850986    5004.40258 0.0487826151993
   66 4970.68994359 5055.50369578 4953.04405053 5072.46767389 0.0494688019571
   67 5031.40679944 5132.41525132  5028.1173115 5135.78817363 0.0509516071452
   68 7211.19081664  7395.5589466 7185.13359905 7420.61687263  0.101990984987
   69 7368.08288473 7556.39766442 7341.40374235 7582.03879552  0.104199278639
   70 7531.94112916 7724.37958124 7504.61257246  7750.6297774  0.106505421497
   71 7703.22760829 7899.98405958 7675.22324499  7926.8687741  0.108915824356
   72 7882.48788336 8083.75935524 7853.77347916 8111.31057809  0.111437446455
   73 8070.26502608 8276.28084818 8040.81969855 8304.52082294  0.114077855582
   74 8267.20851394 8478.17363404 8236.98000575 8507.16154977   0.11684529697
   75 8473.99277412 8690.17143595 8442.94582319 8719.93015936  0.119748772519
   76 8691.36272975 8913.10929246 8659.56289993 8943.59664998  0.122798132197
   77 8920.31055888 9147.81212319 8887.62206336 9179.14213486  0.126004179918
   78 9161.59364475 9395.07508398 9127.84496654 9427.39034696  0.129378796541
   80 4806.48125388 4927.42286847 4787.97144195 4943.74721575 0.0667798771419
   84 4487.72990932 4607.40897606 4480.98083284  4614.1749513 0.0617626493513
