#A star      class  teff ulflag   logeps   [X/Fe] e_sta e_tot   e_I  e_II [Fe/H]
CS22957-027   RG  5220.  0.00     4.50    -3.00  0.07  0.16  0.00  0.00  -3.00
HE1012-1540  RG  5230.  0.00     3.74    -3.76  0.14  0.20  0.00  0.00  -3.76
CS22893-005   RG  5260.  0.00     4.57    -2.93  0.07  0.16  0.00  0.00  -2.93
CS29514-017   RG  5270.  0.00     5.16    -2.34  0.06  0.15  0.00  0.00  -2.34
CS22891-221   RG  5290.  0.00     4.02    -3.48  0.10  0.17  0.00  0.00  -3.48
CS22951-077   HB  5290.  0.00     4.96    -2.54  0.06  0.15  0.00  0.00  -2.54
CS22947-187   HB  5300.  0.00     4.92    -2.58  0.06  0.15  0.00  0.00  -2.58
HD196944       HB  5310.  0.00     5.11    -2.39  0.06  0.15  0.00  0.00  -2.39
CS22890-024   RG  5320.  0.00     4.92    -2.58  0.07  0.15  0.00  0.00  -2.58
CS22940-077   HB  5350.  0.00     4.40    -3.10  0.06  0.15  0.00  0.00  -3.10
CS22896-110   HB  5380.  0.00     4.64    -2.86  0.06  0.15  0.00  0.00  -2.86
CS22943-137   RG  5400.  0.00     4.11    -3.39  0.08  0.16  0.00  0.00  -3.39
